"loc08_id";"loc08_loc07_id";"loc08_nam";"loc08_typ";"loc08_kqual";"loc08_erhalt";"loc08_text_beschr";"loc08_text_bem";"loc08_text_lit";"loc08_geo_p_gk3";"x";"y";"loc08_autochron"
330;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
354;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
355;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
420;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
448;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
505;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
559;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
565;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
566;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
567;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
568;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
570;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
579;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
585;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
591;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
604;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
605;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
607;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
766;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
773;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
796;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
843;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
848;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
883;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
884;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
955;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
962;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
963;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
966;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
967;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
995;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
996;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1000;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1001;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1022;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1023;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1024;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1055;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1087;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1088;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1089;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1092;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1093;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1104;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1118;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1129;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1131;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1132;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1136;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1137;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1138;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1175;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1176;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1184;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1185;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1186;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1187;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1189;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1204;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1210;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1240;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1261;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1270;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1273;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1276;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1277;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1278;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1279;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1285;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1286;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1287;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1288;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1294;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1296;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1303;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1310;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1312;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1313;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1324;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1329;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1330;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1332;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1333;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1334;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1335;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1340;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1344;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1346;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1347;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1348;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1350;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1352;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1355;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1361;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1363;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1371;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1375;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1376;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1379;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1397;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1398;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1399;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1403;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1404;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1405;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1406;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1417;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1418;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1420;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1424;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1425;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1426;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1429;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1431;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1432;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1433;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1457;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1464;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1465;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1475;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1476;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1482;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1483;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1486;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1487;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1488;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1490;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1491;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1492;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1493;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1502;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1504;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1505;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1506;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1507;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1508;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1509;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1510;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1511;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1512;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1513;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1515;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1518;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1525;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1526;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1527;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1530;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1589;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1615;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1618;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1621;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1625;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1627;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1634;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1636;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1640;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1648;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1649;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1650;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1659;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1662;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1669;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1671;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1687;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1688;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1698;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1699;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1700;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1701;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1703;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1704;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1706;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1707;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1709;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1711;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1726;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1727;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1728;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1729;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1730;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1732;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1733;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1737;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1740;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1744;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1749;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1750;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1751;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1752;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1753;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1756;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1757;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1759;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1760;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1762;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1763;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1764;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1772;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1785;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1786;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1787;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1788;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1789;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1800;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1802;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1804;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1805;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1806;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1808;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1809;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1810;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1815;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1822;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1824;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1826;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1828;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1829;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1830;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1831;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1884;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1890;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1895;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1896;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1908;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1910;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1911;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1914;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1922;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1951;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1955;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1956;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1957;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1986;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1987;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1988;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1993;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1995;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
1997;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2002;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2003;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2004;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2005;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2006;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2008;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2009;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2010;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2011;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2012;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2013;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2056;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2057;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2067;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2074;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2075;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2076;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2079;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2080;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2081;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2082;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2083;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2090;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2091;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2092;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2094;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2102;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2103;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2104;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2105;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2114;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2116;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2121;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2129;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2132;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2133;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2134;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2135;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2145;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2153;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2154;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2155;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2177;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2178;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2183;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2185;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2188;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2190;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2210;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2211;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2227;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2235;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2255;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2259;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2261;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2267;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2268;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2270;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2272;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2273;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2275;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2276;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2277;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2279;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2312;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2319;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2327;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2357;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2379;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2384;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2444;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2449;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2452;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2459;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2463;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2465;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2476;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2481;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2488;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2489;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2491;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2498;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2501;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2504;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2506;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2508;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2511;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2518;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2524;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2539;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2544;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2551;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2568;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2574;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2579;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2606;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2636;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2652;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2736;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2757;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2758;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2760;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2761;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2763;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2765;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2769;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2771;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2772;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2774;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2775;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2794;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2808;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2810;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2812;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2830;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2832;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2833;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2844;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2845;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2846;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2849;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2852;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2905;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2911;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2912;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2918;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2919;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2920;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2923;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2933;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2934;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2936;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2938;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2948;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2949;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2950;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2971;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2973;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2974;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2976;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2978;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2979;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2987;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
2998;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3003;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3007;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3014;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3019;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3024;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3026;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3043;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3044;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3045;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3046;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3047;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3053;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3054;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3055;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3064;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3066;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3080;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3082;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
3084;;"xx";160;203;1040;"";"";"";"";;;"undatiert"
