"loc07_id";"loc07_loc06_id";"loc07_nam";"loc07_typ";"loc07_text_bem";"loc07_text_beschr";"loc07_text_lit";"loc07_geo_p_gk3";"x";"y";"loc07_autochron"
597;;"xx";114;"";"";"";"";;;"undatiert"
598;;"xx";114;"";"";"";"";;;"undatiert"
608;;"xx";114;"";"";"";"";;;"undatiert"
624;;"xx";114;"";"";"";"";;;"undatiert"
633;;"xx";114;"";"";"";"";;;"undatiert"
680;;"xx";114;"";"";"";"";;;"undatiert"
681;;"xx";114;"";"";"";"";;;"undatiert"
682;;"xx";114;"";"";"";"";;;"undatiert"
688;;"xx";114;"";"";"";"";;;"undatiert"
689;;"xx";114;"";"";"";"";;;"undatiert"
690;;"xx";114;"";"";"";"";;;"undatiert"
691;;"xx";114;"";"";"";"";;;"undatiert"
692;;"xx";114;"";"";"";"";;;"undatiert"
693;;"xx";114;"";"";"";"";;;"undatiert"
694;;"xx";114;"";"";"";"";;;"undatiert"
695;;"xx";114;"";"";"";"";;;"undatiert"
696;;"xx";114;"";"";"";"";;;"undatiert"
697;;"xx";114;"";"";"";"";;;"undatiert"
698;;"xx";114;"";"";"";"";;;"undatiert"
699;;"xx";114;"";"";"";"";;;"undatiert"
700;;"xx";114;"";"";"";"";;;"undatiert"
701;;"xx";114;"";"";"";"";;;"undatiert"
702;;"xx";114;"";"";"";"";;;"undatiert"
703;;"xx";114;"";"";"";"";;;"undatiert"
704;;"xx";114;"";"";"";"";;;"undatiert"
705;;"xx";114;"";"";"";"";;;"undatiert"
706;;"xx";114;"";"";"";"";;;"undatiert"
707;;"xx";114;"";"";"";"";;;"undatiert"
708;;"xx";114;"";"";"";"";;;"undatiert"
709;;"xx";114;"";"";"";"";;;"undatiert"
710;;"xx";114;"";"";"";"";;;"undatiert"
711;;"xx";114;"";"";"";"";;;"undatiert"
712;;"xx";114;"";"";"";"";;;"undatiert"
713;;"xx";114;"";"";"";"";;;"undatiert"
714;;"xx";114;"";"";"";"";;;"undatiert"
715;;"xx";114;"";"";"";"";;;"undatiert"
716;;"xx";114;"";"";"";"";;;"undatiert"
717;;"xx";114;"";"";"";"";;;"undatiert"
718;;"xx";114;"";"";"";"";;;"undatiert"
719;;"xx";114;"";"";"";"";;;"undatiert"
720;;"xx";114;"";"";"";"";;;"undatiert"
721;;"xx";114;"";"";"";"";;;"undatiert"
722;;"xx";114;"";"";"";"";;;"undatiert"
723;;"xx";114;"";"";"";"";;;"undatiert"
724;;"xx";114;"";"";"";"";;;"undatiert"
725;;"xx";114;"";"";"";"";;;"undatiert"
726;;"xx";114;"";"";"";"";;;"undatiert"
764;;"xx";114;"";"";"";"";;;"undatiert"
828;;"xx";114;"";"";"";"";;;"undatiert"
944;;"xx";114;"";"";"";"";;;"undatiert"
945;;"xx";114;"";"";"";"";;;"undatiert"
957;;"xx";114;"";"";"";"";;;"undatiert"
958;;"xx";114;"";"";"";"";;;"undatiert"
959;;"xx";114;"";"";"";"";;;"undatiert"
960;;"xx";114;"";"";"";"";;;"undatiert"
961;;"xx";114;"";"";"";"";;;"undatiert"
962;;"xx";114;"";"";"";"";;;"undatiert"
963;;"xx";114;"";"";"";"";;;"undatiert"
964;;"xx";114;"";"";"";"";;;"undatiert"
965;;"xx";114;"";"";"";"";;;"undatiert"
966;;"xx";114;"";"";"";"";;;"undatiert"
967;;"xx";114;"";"";"";"";;;"undatiert"
968;;"xx";114;"";"";"";"";;;"undatiert"
969;;"xx";114;"";"";"";"";;;"undatiert"
970;;"xx";114;"";"";"";"";;;"undatiert"
971;;"xx";114;"";"";"";"";;;"undatiert"
972;;"xx";114;"";"";"";"";;;"undatiert"
973;;"xx";114;"";"";"";"";;;"undatiert"
974;;"xx";114;"";"";"";"";;;"undatiert"
975;;"xx";114;"";"";"";"";;;"undatiert"
1026;;"xx";114;"";"";"";"";;;"undatiert"
1046;;"xx";114;"";"";"";"";;;"undatiert"
1050;;"xx";114;"";"";"";"";;;"undatiert"
1083;;"xx";114;"";"";"";"";;;"undatiert"
1085;;"xx";114;"";"";"";"";;;"undatiert"
1114;;"xx";114;"";"";"";"";;;"undatiert"
1140;;"xx";114;"";"";"";"";;;"undatiert"
1150;;"xx";114;"";"";"";"";;;"undatiert"
1152;;"xx";114;"";"";"";"";;;"undatiert"
1170;;"xx";114;"";"";"";"";;;"undatiert"
1182;;"xx";114;"";"";"";"";;;"undatiert"
1183;;"xx";114;"";"";"";"";;;"undatiert"
1210;;"xx";114;"";"";"";"";;;"undatiert"
1326;;"xx";114;"";"";"";"";;;"undatiert"
1392;;"xx";114;"";"";"";"";;;"undatiert"
1399;;"xx";114;"";"";"";"";;;"undatiert"
1401;;"xx";114;"";"";"";"";;;"undatiert"
1410;;"xx";114;"";"";"";"";;;"undatiert"
1413;;"xx";114;"";"";"";"";;;"undatiert"
1415;;"xx";114;"";"";"";"";;;"undatiert"
1420;;"xx";114;"";"";"";"";;;"undatiert"
1422;;"xx";114;"";"";"";"";;;"undatiert"
1423;;"xx";114;"";"";"";"";;;"undatiert"
1424;;"xx";114;"";"";"";"";;;"undatiert"
1439;;"xx";114;"";"";"";"";;;"undatiert"
1440;;"xx";114;"";"";"";"";;;"undatiert"
1441;;"xx";114;"";"";"";"";;;"undatiert"
1442;;"xx";114;"";"";"";"";;;"undatiert"
1443;;"xx";114;"";"";"";"";;;"undatiert"
1455;;"xx";114;"";"";"";"";;;"undatiert"
1462;;"xx";114;"";"";"";"";;;"undatiert"
1464;;"xx";114;"";"";"";"";;;"undatiert"
1467;;"xx";114;"";"";"";"";;;"undatiert"
1475;;"xx";114;"";"";"";"";;;"undatiert"
1496;;"xx";114;"";"";"";"";;;"undatiert"
1497;;"xx";114;"";"";"";"";;;"undatiert"
1498;;"xx";114;"";"";"";"";;;"undatiert"
1499;;"xx";114;"";"";"";"";;;"undatiert"
1500;;"xx";114;"";"";"";"";;;"undatiert"
1501;;"xx";114;"";"";"";"";;;"undatiert"
1502;;"xx";114;"";"";"";"";;;"undatiert"
1503;;"xx";114;"";"";"";"";;;"undatiert"
1504;;"xx";114;"";"";"";"";;;"undatiert"
1505;;"xx";114;"";"";"";"";;;"undatiert"
1506;;"xx";114;"";"";"";"";;;"undatiert"
1507;;"xx";114;"";"";"";"";;;"undatiert"
1508;;"xx";114;"";"";"";"";;;"undatiert"
1509;;"xx";114;"";"";"";"";;;"undatiert"
1510;;"xx";114;"";"";"";"";;;"undatiert"
1511;;"xx";114;"";"";"";"";;;"undatiert"
1512;;"xx";114;"";"";"";"";;;"undatiert"
1513;;"xx";114;"";"";"";"";;;"undatiert"
1514;;"xx";114;"";"";"";"";;;"undatiert"
1515;;"xx";114;"";"";"";"";;;"undatiert"
1516;;"xx";114;"";"";"";"";;;"undatiert"
1517;;"xx";114;"";"";"";"";;;"undatiert"
1518;;"xx";114;"";"";"";"";;;"undatiert"
1519;;"xx";114;"";"";"";"";;;"undatiert"
1520;;"xx";114;"";"";"";"";;;"undatiert"
1521;;"xx";114;"";"";"";"";;;"undatiert"
1522;;"xx";114;"";"";"";"";;;"undatiert"
1523;;"xx";114;"";"";"";"";;;"undatiert"
1524;;"xx";114;"";"";"";"";;;"undatiert"
1525;;"xx";114;"";"";"";"";;;"undatiert"
1526;;"xx";114;"";"";"";"";;;"undatiert"
1527;;"xx";114;"";"";"";"";;;"undatiert"
1528;;"xx";114;"";"";"";"";;;"undatiert"
1529;;"xx";114;"";"";"";"";;;"undatiert"
1530;;"xx";114;"";"";"";"";;;"undatiert"
1546;;"xx";114;"";"";"";"";;;"undatiert"
1548;;"xx";114;"";"";"";"";;;"undatiert"
1581;;"xx";114;"";"";"";"";;;"undatiert"
1583;;"xx";114;"";"";"";"";;;"undatiert"
1585;;"xx";114;"";"";"";"";;;"undatiert"
1587;;"xx";114;"";"";"";"";;;"undatiert"
1588;;"xx";114;"";"";"";"";;;"undatiert"
1600;;"xx";114;"";"";"";"";;;"undatiert"
1601;;"xx";114;"";"";"";"";;;"undatiert"
1607;;"xx";114;"";"";"";"";;;"undatiert"
1608;;"xx";114;"";"";"";"";;;"undatiert"
1609;;"xx";114;"";"";"";"";;;"undatiert"
1610;;"xx";114;"";"";"";"";;;"undatiert"
1663;;"xx";114;"";"";"";"";;;"undatiert"
1690;;"xx";114;"";"";"";"";;;"undatiert"
1692;;"xx";114;"";"";"";"";;;"undatiert"
1789;;"xx";114;"";"";"";"";;;"undatiert"
1847;;"xx";114;"";"";"";"";;;"undatiert"
2035;;"xx";114;"";"";"";"";;;"undatiert"
2036;;"xx";114;"";"";"";"";;;"undatiert"
2056;;"xx";114;"";"";"";"";;;"undatiert"
2058;;"xx";114;"";"";"";"";;;"undatiert"
2073;;"xx";114;"";"";"";"";;;"undatiert"
2097;;"xx";114;"";"";"";"";;;"undatiert"
2099;;"xx";114;"";"";"";"";;;"undatiert"
2114;;"xx";114;"";"";"";"";;;"undatiert"
2139;;"xx";114;"";"";"";"";;;"undatiert"
2143;;"xx";114;"";"";"";"";;;"undatiert"
2144;;"xx";114;"";"";"";"";;;"undatiert"
2170;;"xx";114;"";"";"";"";;;"undatiert"
2171;;"xx";114;"";"";"";"";;;"undatiert"
2189;;"xx";114;"";"";"";"";;;"undatiert"
2218;;"xx";114;"";"";"";"";;;"undatiert"
2232;;"xx";114;"";"";"";"";;;"undatiert"
2240;;"xx";114;"";"";"";"";;;"undatiert"
2243;;"xx";114;"";"";"";"";;;"undatiert"
2291;;"xx";114;"";"";"";"";;;"undatiert"
2295;;"xx";114;"";"";"";"";;;"undatiert"
2296;;"xx";114;"";"";"";"";;;"undatiert"
2298;;"xx";114;"";"";"";"";;;"undatiert"
2300;;"xx";114;"";"";"";"";;;"undatiert"
2302;;"xx";114;"";"";"";"";;;"undatiert"
2303;;"xx";114;"";"";"";"";;;"undatiert"
2304;;"xx";114;"";"";"";"";;;"undatiert"
2305;;"xx";114;"";"";"";"";;;"undatiert"
2316;;"xx";114;"";"";"";"";;;"undatiert"
2317;;"xx";114;"";"";"";"";;;"undatiert"
2318;;"xx";114;"";"";"";"";;;"undatiert"
2328;;"xx";114;"";"";"";"";;;"undatiert"
2329;;"xx";114;"";"";"";"";;;"undatiert"
2335;;"xx";114;"";"";"";"";;;"undatiert"
2358;;"xx";114;"";"";"";"";;;"undatiert"
2360;;"xx";114;"";"";"";"";;;"undatiert"
2373;;"xx";114;"";"";"";"";;;"undatiert"
2377;;"xx";114;"";"";"";"";;;"undatiert"
2385;;"xx";114;"";"";"";"";;;"undatiert"
2668;;"xx";114;"";"";"";"";;;"undatiert"
2670;;"xx";114;"";"";"";"";;;"undatiert"
2671;;"xx";114;"";"";"";"";;;"undatiert"
2686;;"xx";114;"";"";"";"";;;"undatiert"
2909;;"xx";114;"";"";"";"";;;"undatiert"
2918;;"xx";114;"";"";"";"";;;"undatiert"
2947;;"xx";114;"";"";"";"";;;"undatiert"
2964;;"xx";114;"";"";"";"";;;"undatiert"
3022;;"xx";114;"";"";"";"";;;"undatiert"
3023;;"xx";114;"";"";"";"";;;"undatiert"
3024;;"xx";114;"";"";"";"";;;"undatiert"
3025;;"xx";114;"";"";"";"";;;"undatiert"
3026;;"xx";114;"";"";"";"";;;"undatiert"
3027;;"xx";114;"";"";"";"";;;"undatiert"
3089;;"xx";114;"";"";"";"";;;"undatiert"
3133;;"xx";114;"";"";"";"";;;"undatiert"
3173;;"xx";114;"";"";"";"";;;"undatiert"
3183;;"xx";114;"";"";"";"";;;"undatiert"
3200;;"xx";114;"";"";"";"";;;"undatiert"
3290;;"xx";114;"";"";"";"";;;"undatiert"
3333;;"xx";114;"";"";"";"";;;"undatiert"
3338;;"xx";114;"";"";"";"";;;"undatiert"
3348;;"xx";114;"";"";"";"";;;"undatiert"
3349;;"xx";114;"";"";"";"";;;"undatiert"
3356;;"xx";114;"";"";"";"";;;"undatiert"
3358;;"xx";114;"";"";"";"";;;"undatiert"
3394;;"xx";114;"";"";"";"";;;"undatiert"
3396;;"xx";114;"";"";"";"";;;"undatiert"
3445;;"xx";114;"";"";"";"";;;"undatiert"
3446;;"xx";114;"";"";"";"";;;"undatiert"
3490;;"xx";114;"";"";"";"";;;"undatiert"
3496;;"xx";114;"";"";"";"";;;"undatiert"
3510;;"xx";114;"";"";"";"";;;"undatiert"
3511;;"xx";114;"";"";"";"";;;"undatiert"
3531;;"xx";114;"";"";"";"";;;"undatiert"
3585;;"xx";114;"";"";"";"";;;"undatiert"
3590;;"xx";114;"";"";"";"";;;"undatiert"
3640;;"xx";114;"";"";"";"";;;"undatiert"
3642;;"xx";114;"";"";"";"";;;"undatiert"
3667;;"xx";114;"";"";"";"";;;"undatiert"
3669;;"xx";114;"";"";"";"";;;"undatiert"
3677;;"xx";114;"";"";"";"";;;"undatiert"
3681;;"xx";114;"";"";"";"";;;"undatiert"
3682;;"xx";114;"";"";"";"";;;"undatiert"
3701;;"xx";114;"";"";"";"";;;"undatiert"
3702;;"xx";114;"";"";"";"";;;"undatiert"
3712;;"xx";114;"";"";"";"";;;"undatiert"
3735;;"xx";114;"";"";"";"";;;"undatiert"
3793;;"xx";114;"";"";"";"";;;"undatiert"
4148;;"xx";114;"";"";"";"";;;"undatiert"
4212;;"xx";114;"";"";"";"";;;"undatiert"
4265;;"xx";114;"";"";"";"";;;"undatiert"
4278;;"xx";114;"";"";"";"";;;"undatiert"
4296;;"xx";114;"";"";"";"";;;"undatiert"
4297;;"xx";114;"";"";"";"";;;"undatiert"
4309;;"xx";114;"";"";"";"";;;"undatiert"
4443;;"xx";114;"";"";"";"";;;"undatiert"
4456;;"xx";114;"";"";"";"";;;"undatiert"
4457;;"xx";114;"";"";"";"";;;"undatiert"
4490;;"xx";114;"";"";"";"";;;"undatiert"
4501;;"xx";114;"";"";"";"";;;"undatiert"
4510;;"xx";114;"";"";"";"";;;"undatiert"
4516;;"xx";114;"";"";"";"";;;"undatiert"
4521;;"xx";114;"";"";"";"";;;"undatiert"
4573;;"xx";114;"";"";"";"";;;"undatiert"
4605;;"xx";114;"";"";"";"";;;"undatiert"
4607;;"xx";114;"";"";"";"";;;"undatiert"
4632;;"xx";114;"";"";"";"";;;"undatiert"
4667;;"xx";114;"";"";"";"";;;"undatiert"
4682;;"xx";114;"";"";"";"";;;"undatiert"
4696;;"xx";114;"";"";"";"";;;"undatiert"
4704;;"xx";114;"";"";"";"";;;"undatiert"
4718;;"xx";114;"";"";"";"";;;"undatiert"
4719;;"xx";114;"";"";"";"";;;"undatiert"
4736;;"xx";114;"";"";"";"";;;"undatiert"
4737;;"xx";114;"";"";"";"";;;"undatiert"
4767;;"xx";114;"";"";"";"";;;"undatiert"
4843;;"xx";114;"";"";"";"";;;"undatiert"
4851;;"xx";114;"";"";"";"";;;"undatiert"
4858;;"xx";114;"";"";"";"";;;"undatiert"
4861;;"xx";114;"";"";"";"";;;"undatiert"
4866;;"xx";114;"";"";"";"";;;"undatiert"
4967;;"xx";114;"";"";"";"";;;"undatiert"
5018;;"xx";114;"";"";"";"";;;"undatiert"
5093;;"xx";114;"";"";"";"";;;"undatiert"
5098;;"xx";114;"";"";"";"";;;"undatiert"
5099;;"xx";114;"";"";"";"";;;"undatiert"
5100;;"xx";114;"";"";"";"";;;"undatiert"
5101;;"xx";114;"";"";"";"";;;"undatiert"
5102;;"xx";114;"";"";"";"";;;"undatiert"
5152;;"xx";114;"";"";"";"";;;"undatiert"
5155;;"xx";114;"";"";"";"";;;"undatiert"
5156;;"xx";114;"";"";"";"";;;"undatiert"
5157;;"xx";114;"";"";"";"";;;"undatiert"
5158;;"xx";114;"";"";"";"";;;"undatiert"
5225;;"xx";114;"";"";"";"";;;"undatiert"
5226;;"xx";114;"";"";"";"";;;"undatiert"
5229;;"xx";114;"";"";"";"";;;"undatiert"
5230;;"xx";114;"";"";"";"";;;"undatiert"
5275;;"xx";114;"";"";"";"";;;"undatiert"
5279;;"xx";114;"";"";"";"";;;"undatiert"
5280;;"xx";114;"";"";"";"";;;"undatiert"
5313;;"xx";114;"";"";"";"";;;"undatiert"
5334;;"xx";114;"";"";"";"";;;"undatiert"
5354;;"xx";114;"";"";"";"";;;"undatiert"
5367;;"xx";114;"";"";"";"";;;"undatiert"
5368;;"xx";114;"";"";"";"";;;"undatiert"
5390;;"xx";114;"";"";"";"";;;"undatiert"
5449;;"xx";114;"";"";"";"";;;"undatiert"
5515;;"xx";114;"";"";"";"";;;"undatiert"
5558;;"xx";114;"";"";"";"";;;"undatiert"
5592;;"xx";114;"";"";"";"";;;"undatiert"
6550;;"xx";114;"";"";"";"";;;"undatiert"
6551;;"xx";114;"";"";"";"";;;"undatiert"
7341;;"xx";114;"";"";"";"";;;"undatiert"
7376;;"xx";114;"";"";"";"";;;"undatiert"
7377;;"xx";114;"";"";"";"";;;"undatiert"
7378;;"xx";114;"";"";"";"";;;"undatiert"
7379;;"xx";114;"";"";"";"";;;"undatiert"
7380;;"xx";114;"";"";"";"";;;"undatiert"
7381;;"xx";114;"";"";"";"";;;"undatiert"
7382;;"xx";114;"";"";"";"";;;"undatiert"
7383;;"xx";114;"";"";"";"";;;"undatiert"
7384;;"xx";114;"";"";"";"";;;"undatiert"
7385;;"xx";114;"";"";"";"";;;"undatiert"
7386;;"xx";114;"";"";"";"";;;"undatiert"
7387;;"xx";114;"";"";"";"";;;"undatiert"
7388;;"xx";114;"";"";"";"";;;"undatiert"
7389;;"xx";114;"";"";"";"";;;"undatiert"
7390;;"xx";114;"";"";"";"";;;"undatiert"
7391;;"xx";114;"";"";"";"";;;"undatiert"
7392;;"xx";114;"";"";"";"";;;"undatiert"
7393;;"xx";114;"";"";"";"";;;"undatiert"
7427;;"xx";114;"";"";"";"";;;"undatiert"
7447;;"xx";114;"";"";"";"";;;"undatiert"
7592;;"xx";114;"";"";"";"";;;"undatiert"
7867;;"xx";114;"";"";"";"";;;"undatiert"
7868;;"xx";114;"";"";"";"";;;"undatiert"
7869;;"xx";114;"";"";"";"";;;"undatiert"
7870;;"xx";114;"";"";"";"";;;"undatiert"
7871;;"xx";114;"";"";"";"";;;"undatiert"
7872;;"xx";114;"";"";"";"";;;"undatiert"
7873;;"xx";114;"";"";"";"";;;"undatiert"
7874;;"xx";114;"";"";"";"";;;"undatiert"
7875;;"xx";114;"";"";"";"";;;"undatiert"
7876;;"xx";114;"";"";"";"";;;"undatiert"
8065;;"xx";114;"";"";"";"";;;"undatiert"
8066;;"xx";114;"";"";"";"";;;"undatiert"
8215;;"xx";114;"";"";"";"";;;"undatiert"
8260;;"xx";114;"";"";"";"";;;"undatiert"
8307;;"xx";114;"";"";"";"";;;"undatiert"
8375;;"xx";114;"";"";"";"";;;"undatiert"
8641;;"xx";114;"";"";"";"";;;"undatiert"
8712;;"xx";114;"";"";"";"";;;"undatiert"
8726;;"xx";114;"";"";"";"";;;"undatiert"
8760;;"xx";114;"";"";"";"";;;"undatiert"
8813;;"xx";114;"";"";"";"";;;"undatiert"
8814;;"xx";114;"";"";"";"";;;"undatiert"
8815;;"xx";114;"";"";"";"";;;"undatiert"
8817;;"xx";114;"";"";"";"";;;"undatiert"
8835;;"xx";114;"";"";"";"";;;"undatiert"
8836;;"xx";114;"";"";"";"";;;"undatiert"
8838;;"xx";114;"";"";"";"";;;"undatiert"
8840;;"xx";114;"";"";"";"";;;"undatiert"
8841;;"xx";114;"";"";"";"";;;"undatiert"
8842;;"xx";114;"";"";"";"";;;"undatiert"
8843;;"xx";114;"";"";"";"";;;"undatiert"
8845;;"xx";114;"";"";"";"";;;"undatiert"
8846;;"xx";114;"";"";"";"";;;"undatiert"
8847;;"xx";114;"";"";"";"";;;"undatiert"
8885;;"xx";114;"";"";"";"";;;"undatiert"
8907;;"xx";114;"";"";"";"";;;"undatiert"
9022;;"xx";114;"";"";"";"";;;"undatiert"
9183;;"xx";114;"";"";"";"";;;"undatiert"
9256;;"xx";114;"";"";"";"";;;"undatiert"
9454;;"xx";114;"";"";"";"";;;"undatiert"
9748;;"xx";114;"";"";"";"";;;"undatiert"
9814;;"xx";114;"";"";"";"";;;"undatiert"
9902;;"xx";114;"";"";"";"";;;"undatiert"
9905;;"xx";114;"";"";"";"";;;"undatiert"
9908;;"xx";114;"";"";"";"";;;"undatiert"
9915;;"xx";114;"";"";"";"";;;"undatiert"
9916;;"xx";114;"";"";"";"";;;"undatiert"
9998;;"xx";114;"";"";"";"";;;"undatiert"
10373;;"xx";114;"";"";"";"";;;"undatiert"
10396;;"xx";114;"";"";"";"";;;"undatiert"
10397;;"xx";114;"";"";"";"";;;"undatiert"
10469;;"xx";114;"";"";"";"";;;"undatiert"
10584;;"xx";114;"";"";"";"";;;"undatiert"
10585;;"xx";114;"";"";"";"";;;"undatiert"
10586;;"xx";114;"";"";"";"";;;"undatiert"
10587;;"xx";114;"";"";"";"";;;"undatiert"
10601;;"xx";114;"";"";"";"";;;"undatiert"
10602;;"xx";114;"";"";"";"";;;"undatiert"
10603;;"xx";114;"";"";"";"";;;"undatiert"
10604;;"xx";114;"";"";"";"";;;"undatiert"
10605;;"xx";114;"";"";"";"";;;"undatiert"
10606;;"xx";114;"";"";"";"";;;"undatiert"
10607;;"xx";114;"";"";"";"";;;"undatiert"
10749;;"xx";114;"";"";"";"";;;"undatiert"
10789;;"xx";114;"";"";"";"";;;"undatiert"
10919;;"xx";114;"";"";"";"";;;"undatiert"
10980;;"xx";114;"";"";"";"";;;"undatiert"
11093;;"xx";114;"";"";"";"";;;"undatiert"
11146;;"xx";114;"";"";"";"";;;"undatiert"
11167;;"xx";114;"";"";"";"";;;"undatiert"
11202;;"xx";114;"";"";"";"";;;"undatiert"
11224;;"xx";114;"";"";"";"";;;"undatiert"
11480;;"xx";114;"";"";"";"";;;"undatiert"
11494;;"xx";114;"";"";"";"";;;"undatiert"
11495;;"xx";114;"";"";"";"";;;"undatiert"
11496;;"xx";114;"";"";"";"";;;"undatiert"
11497;;"xx";114;"";"";"";"";;;"undatiert"
11498;;"xx";114;"";"";"";"";;;"undatiert"
11499;;"xx";114;"";"";"";"";;;"undatiert"
11500;;"xx";114;"";"";"";"";;;"undatiert"
11501;;"xx";114;"";"";"";"";;;"undatiert"
11502;;"xx";114;"";"";"";"";;;"undatiert"
11503;;"xx";114;"";"";"";"";;;"undatiert"
11504;;"xx";114;"";"";"";"";;;"undatiert"
11505;;"xx";114;"";"";"";"";;;"undatiert"
11698;;"xx";114;"";"";"";"";;;"undatiert"
11699;;"xx";114;"";"";"";"";;;"undatiert"
11700;;"xx";114;"";"";"";"";;;"undatiert"
11701;;"xx";114;"";"";"";"";;;"undatiert"
11702;;"xx";114;"";"";"";"";;;"undatiert"
11703;;"xx";114;"";"";"";"";;;"undatiert"
11704;;"xx";114;"";"";"";"";;;"undatiert"
3605;;"bitte löschen";103;"völlig ausgegraben, lieg darin nur noch Holzkohlenreste. Gelöscht aus: 9117.
";" 
";"leer
";"0101000020EB7A000000000000000000000000000000000000";0;0;"undatiert"
7228;910;"Hügel 11";103;"Gebiet ,,Zeirenhof,,, ,,Hag,,, ,,Viehweide,,  ein Grabhügelfeld mit etwa 16 Grabhügeln.
Grabung 1830. Div. Funde.
";" 
";"leer
";"0101000020EB7A000000000000000000000000000000000000";0;0;"undatiert"
12465;6958;"Huegelgrab III";114;"Hügel 3 liegt auf der Gemarkung Munderkingen, Der Hügel 3 war nicht zu erkennen. Völlig eingeebnet? 




";"leer


";"leer


";"0101000020EB7A000000000000000000000000000000000000";0;0;"undatiert"
4745;10543;"Grabhügel";103;"None
";" Umfang nahezu 100m 0 31 m Durchmesser, H: 2m, von einem Weg geschnitten, inder Nähe viel Stubbensandstein.
";"leer
";"0101000020EB7A000000000000000000000000000000000000";0;0;"Eisenzeit,"
4931;11845;"Siedlung       ";104;"Fünf hallstattzeitliche Gruben
";" 
";"
";"0101000020EB7A000000000000000000000000000000000000";0;0;"Eisenzeit>Hallstatt,"
13746;11398;"Siedlungsspuren";100;"";"Funde von Scherben, die auf eine Besiedlung hindeuten";"";"0101000020EB7A000000000000000000000000000000000000";0;0;"undatiert"
2192;8965;"Grabhügel 07";103;"";"fünfzehn m groß, 0,70 m hoch;";"";"0101000020EB7A000000000000000000000000000000000000";0;0;"Eisenzeit,"
6212;;"None                ";103;"None. Gelöscht aus: 12567.";" ";"";"";;;"Hallstattzeit,"
6213;;"None                ";103;"None. Gelöscht aus: 12567.";" ";"";"";;;"Hallstattzeit,"
6214;;"None                ";103;"None. Gelöscht aus: 12567.";" ";"";"";;;"Hallstattzeit,"
2757;;"Siedlung       ";104;"None. Gelöscht aus: 1233.
";" 
";"leer
";"0101000020EB7A000000000000000000000000000000000000";0;0;"Hallstattzeit,Latène-A,"
13017;;"Hügel 1";103;"xxx aus der Grabhügelabfrage von 2005 eingespieltxxx  xxadab2005xxx. Gelöscht aus: 15805.

";"Grabhügel
";"
";"0101000020EB7A0000000000006F3C4B4100000040D2A45441";3569886;5411657;"undatiert"
13026;;"Hügel 10";103;"xxx aus der Grabhügelabfrage von 2005 eingespieltxxx  xxadab2005xxx. Gelöscht aus: 15805.
";"Grabhügel
";"l
";"0101000020EB7A000000000080133C4B4100000000C4A45441";3569703;5411600;"undatiert"
13027;;"Hügel 11";103;"xxx aus der Grabhügelabfrage von 2005 eingespieltxxx  xxadab2005xxx. Gelöscht aus: 15805.
";"Grabhügel
";"
";"0101000020EB7A000000000080133C4B4100000000C4A45441";3569703;5411600;"undatiert"
